report_reference,report_term,current_path,original_platform_or_export_name,description,keep_reason
"Appendix 1; Section 3.2 Used Data","Dataset inventory and project split","See thesis report Appendix 1; source dataset references are not duplicated as raw imagery in this folder","N/A","Lists the 58 drone-image projects, their platform identifiers, dataset groups, study partition, image counts, country, resolution, and data source. Raw images are not included here because the output folder contains processed research outputs rather than the original image datasets. Some datasets are private or institutionally provided, and the full raw data would be too large for this shared output package.","Appendix 1 remains in the report; raw public/private source data is referenced rather than redistributed."
"Sections 4.2, 4.2.5, 6.2","Training rows used by final scoring models","1. ridge_regression/source_data/training_data_20260710_183008_final_offline_data_june_27-training-data/rows.json","training_data_20260710_183008_final_offline_data_june_27-training-data","Training rows created from completed exploration runs on model-development projects. Each row links project descriptors, one tested multiplier combination, and the relative quality score used as the learning target.","Internal training-data export name is preserved for traceability to the Bimba3D-re platform."
"Sections 4.1.3, 4.4","Test-project descriptors","1. ridge_regression/source_data/test_descriptors/test_project_descriptors_final_compact_models.csv","test_project_descriptors_final_compact_models.csv","Descriptor table for unseen test projects. These descriptors were used by the final scoring models when selecting candidate multiplier combinations.","The filename records that this compact descriptor set was used by the final models."
"Sections 4.3.2, 6.3; Appendix 2","Final Ridge Regression model artifact","1. ridge_regression/model_artifact/","model_compact-ridge_20260721_195042_ridge_without_intercept_regularization","Stored artifact for the final Ridge Regression scoring model used in the report. The model estimates predicted relative quality scores for candidate multiplier combinations.","The original model identifier is retained in README metadata to connect the files with the platform export."
"Sections 4.3.2, 6.3; Appendix 2","Ridge Regression coefficients","1. ridge_regression/compact_featurewise_ridge_coefficients.csv","compact_featurewise_ridge_coefficients.csv","Coefficient table for the final Ridge Regression scoring model. This supports Appendix 2 and the coefficient discussion in Section 6.3.","The platform/notebook export name is kept because it identifies the compact feature representation used by the model."
"Sections 4.3.2, 6.3; Appendix 2","Ridge Regression coefficient summary","1. ridge_regression/compact_featurewise_ridge_coefficients_summary.md","compact_featurewise_ridge_coefficients_summary.md","Short readable summary of the Ridge Regression coefficient export.","Kept beside the coefficient CSV for evaluator convenience."
"Sections 4.4, 6.4.1; Appendices 3A, 3B","Final Ridge Regression test results","1. ridge_regression/final_ridge_test_metrics_multipliers_descriptors.csv","final_ridge_test_metrics_multipliers_descriptors.csv","Main 12-project Ridge Regression result table. It contains completion status, quality metrics, selected multiplier combinations, Gaussian counts, runtime values, and project descriptors.","This is the primary Ridge table used for report appendices and should remain easy to locate."
"Section 6.4; Appendices 3A-3D","Project index for result charts and tables","1. ridge_regression/project_index_table.csv","project_index_table.csv","Stable index table that maps project index numbers in charts and report tables to project names and platform identifiers.","The same index supports report figures and project-wise charts."
"Sections 4.4, 6.4.1","Ridge test-pipeline run records","1. ridge_regression/test_pipeline_runs.json","test_pipeline_runs.json","The 12 matching test-pipeline run records used to rebuild the final Ridge result table.","Kept for traceability from report table back to platform run records."
"Sections 4.3.3, 6.3","Final MLP model artifact","2. mlp/model_artifact/","model_compact-mlp_20260720_203745_final_mlp_descriptor_standardized","Stored artifact for the final compact MLP scoring model used as a nonlinear comparison model in the report.","The original model identifier is retained in README metadata to connect the files with the platform export."
"Sections 4.4, 6.4.2; Appendices 3C, 3D","Final MLP test results","2. mlp/final_mlp_test_metrics_multipliers_descriptors.csv","final_mlp_test_metrics_multipliers_descriptors.csv","Main 12-project MLP result table. It contains completion status, quality metrics, selected multiplier combinations, Gaussian counts, runtime values, and project descriptors.","This is the primary MLP table used for report appendices and should remain easy to locate."
"Section 6.4; Appendices 3A-3D","Project index for MLP result charts and tables","2. mlp/project_index_table.csv","project_index_table.csv","Stable index table for the MLP result folder. It mirrors the report project-index structure used for project-wise charts and tables.","Kept inside the MLP folder so this output can be read independently."
"Sections 4.4, 6.4.2","MLP test-pipeline run records","2. mlp/test_pipeline_runs.json","test_pipeline_runs.json","The 12 matching test-pipeline run records used to rebuild the final MLP result table.","Kept for traceability from report table back to platform run records."
"Section 6.4.3","Ridge supporting comparison model trained with hard-cap rows","1. ridge_regression/comparison_models/1. trained_with_hard_cap_data/","A2_Final_ridge_used_in_report_trained_with_hard_capped_data","Supporting Ridge comparison output where hard-cap runs were included as penalty rows. This comparison is discussed in Section 6.4.3 and was not the final selected model.","Folder name is explanatory, while internal files retain platform export names for reproducibility."
